"submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","trial_cat","intervalNum","include","first.trial","numPicN","correct","subids"
"Jan 10 2015","12:09:01",1,"Live","50samev50switch","Zero",4,"Chrome",0,"Same",0,"squirrel",0,"",0,632,"up-left-4sec","0","example",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",2,"Live","50samev50switch","Zero",4,"Chrome",0,"Same",0,"squirrel",0,"",0,14,"up-left-4sec","0","example",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",3,"Live","50samev50switch","Zero",4,"Chrome",0,"Same",0,"tomato",1,"",0,119,"up-right-4sec","1","example",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",4,"Live","50samev50switch","Zero",4,"Chrome",0,"Same",0,"tomato",2,"",0,1446,"down-left-4sec","2","example",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",5,"Live","50samev50switch","Zero",4,"Chrome",0,"Same",0,"Novel110",1,"Novel110",1,1495,"up-right-4sec","1","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",6,"Live","50samev50switch","Zero",4,"Chrome",0,"Same",0,"Novel110",0,"Novel110",1,3236,"straight-ahead","-1","test",0,TRUE,TRUE,4,TRUE,"1"
"Jan 10 2015","12:09:01",7,"Live","50samev50switch","Zero",4,"Chrome",1,"Same",1,"Novel97",1,"Novel97",1,1084,"up-right-4sec","1","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",8,"Live","50samev50switch","Zero",4,"Chrome",1,"Same",1,"Novel97",1,"Novel97",1,426,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",9,"Live","50samev50switch","Zero",4,"Chrome",2,"Switch",1,"Novel93",1,"Novel113",0,1028,"up-right-4sec","1","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",10,"Live","50samev50switch","Zero",4,"Chrome",2,"Switch",1,"Novel69",3,"Novel113",0,3645,"straight-ahead","-1","test",0,TRUE,FALSE,4,FALSE,"1"
"Jan 10 2015","12:09:01",11,"Live","50samev50switch","Zero",4,"Chrome",3,"Same",0,"Novel73",3,"Novel73",3,440,"down-right-4sec","3","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",12,"Live","50samev50switch","Zero",4,"Chrome",3,"Same",0,"Novel73",0,"Novel73",3,2042,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",13,"Live","50samev50switch","Zero",4,"Chrome",4,"Switch",0,"Novel64",3,"Novel29",2,666,"down-right-4sec","3","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",14,"Live","50samev50switch","Zero",4,"Chrome",4,"Switch",0,"Novel130",3,"Novel29",2,369,"straight-ahead","-1","test",0,TRUE,FALSE,4,FALSE,"1"
"Jan 10 2015","12:09:01",15,"Live","50samev50switch","Zero",4,"Chrome",5,"Same",1,"Novel13",3,"Novel13",3,299,"down-right-4sec","3","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",16,"Live","50samev50switch","Zero",4,"Chrome",5,"Same",1,"Novel13",3,"Novel13",3,140,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",17,"Live","50samev50switch","Zero",4,"Chrome",6,"Switch",1,"Novel105",1,"Novel125",3,573,"up-right-4sec","1","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",18,"Live","50samev50switch","Zero",4,"Chrome",6,"Switch",1,"Novel109",1,"Novel125",3,42,"straight-ahead","-1","test",0,TRUE,FALSE,4,FALSE,"1"
"Jan 10 2015","12:09:01",19,"Live","50samev50switch","Zero",4,"Chrome",7,"Switch",0,"Novel55",1,"Novel77",2,400,"up-right-4sec","1","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",20,"Live","50samev50switch","Zero",4,"Chrome",7,"Switch",0,"Novel86",1,"Novel77",2,471,"straight-ahead","-1","test",0,TRUE,FALSE,4,FALSE,"1"
"Jan 10 2015","12:09:01",21,"Live","50samev50switch","Zero",4,"Chrome",8,"Switch",0,"Novel53",0,"Novel54",1,611,"up-left-4sec","0","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",22,"Live","50samev50switch","Zero",4,"Chrome",8,"Switch",0,"Novel54",0,"Novel54",1,314,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",23,"Live","50samev50switch","Zero",4,"Chrome",9,"Switch",1,"Novel102",3,"Novel65",1,248,"down-right-4sec","3","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",24,"Live","50samev50switch","Zero",4,"Chrome",9,"Switch",1,"Novel38",3,"Novel65",1,191,"straight-ahead","-1","test",0,TRUE,FALSE,4,FALSE,"1"
"Jan 10 2015","12:09:01",25,"Live","50samev50switch","Zero",4,"Chrome",10,"Same",1,"Novel19",2,"Novel19",2,323,"down-left-4sec","2","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",26,"Live","50samev50switch","Zero",4,"Chrome",10,"Same",1,"Novel19",2,"Novel19",2,461,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",27,"Live","50samev50switch","Zero",4,"Chrome",11,"Same",0,"Novel138",3,"Novel138",3,584,"down-right-4sec","3","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",28,"Live","50samev50switch","Zero",4,"Chrome",11,"Same",0,"Novel138",2,"Novel138",3,323,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",29,"Live","50samev50switch","Zero",4,"Chrome",12,"Same",0,"Novel58",0,"Novel58",0,452,"up-left-4sec","0","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",30,"Live","50samev50switch","Zero",4,"Chrome",12,"Same",0,"Novel58",1,"Novel58",0,123,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",31,"Live","50samev50switch","Zero",4,"Chrome",13,"Switch",1,"Novel121",3,"Novel127",2,1334,"down-right-4sec","3","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",32,"Live","50samev50switch","Zero",4,"Chrome",13,"Switch",1,"Novel106",3,"Novel127",2,184,"straight-ahead","-1","test",0,TRUE,FALSE,4,FALSE,"1"
"Jan 10 2015","12:09:01",33,"Live","50samev50switch","Zero",4,"Chrome",14,"Switch",1,"Novel52",0,"Novel103",1,218,"up-left-4sec","0","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",34,"Live","50samev50switch","Zero",4,"Chrome",14,"Switch",1,"Novel128",0,"Novel103",1,161,"straight-ahead","-1","test",0,TRUE,FALSE,4,FALSE,"1"
"Jan 10 2015","12:09:01",35,"Live","50samev50switch","Zero",4,"Chrome",15,"Same",0,"Novel11",2,"Novel11",2,1494,"down-left-4sec","2","exposure",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","12:09:01",36,"Live","50samev50switch","Zero",4,"Chrome",15,"Same",0,"Novel11",0,"Novel11",2,403,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
"Jan 10 2015","14:20:51",1,"Live","50samev50switch","Zero",4,"Chrome",0,"Same",0,"squirrel",0,"",0,1304,"up-left-4sec","0","example",0,TRUE,FALSE,4,TRUE,"2"
"Jan 10 2015","14:20:51",2,"Live","50samev50switch","Zero",4,"Chrome",0,"Same",0,"squirrel",0,"",0,970,"up-left-4sec","0","example",0,TRUE,FALSE,4,TRUE,"2"
"Jan 10 2015","14:20:51",3,"Live","50samev50switch","Zero",4,"Chrome",0,"Same",0,"tomato",1,"",0,501,"up-right-4sec","1","example",0,TRUE,FALSE,4,TRUE,"2"
"Jan 10 2015","14:20:51",4,"Live","50samev50switch","Zero",4,"Chrome",0,"Same",0,"tomato",2,"",0,715,"down-left-4sec","2","example",0,TRUE,FALSE,4,TRUE,"2"
"Jan 10 2015","14:20:51",5,"Live","50samev50switch","Zero",4,"Chrome",0,"Same",0,"Novel69",2,"Novel69",2,774,"down-left-4sec","2","exposure",0,TRUE,FALSE,4,TRUE,"2"
"Jan 10 2015","14:20:51",6,"Live","50samev50switch","Zero",4,"Chrome",0,"Same",0,"Novel69",3,"Novel69",2,1451,"straight-ahead","-1","test",0,TRUE,TRUE,4,TRUE,"2"
