"subid","submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","example_trial","exposure_trial","test_trial","day.and.time","intervalNum","include","first.trial","numPicN","correct"
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",1,"Short","SocialFirst","Zero",4,"Firefox",0,"Switch","squirrel",0,"",0,489,"straightahead",-1,1,0,0,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,FALSE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",2,"Short","SocialFirst","Zero",4,"Firefox",0,"Switch","squirrel",0,"",0,296,"straightahead",-1,1,0,0,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,FALSE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",3,"Short","SocialFirst","Zero",4,"Firefox",0,"Switch","tomato",1,"",0,58,"straightahead",-1,1,0,0,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,FALSE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",4,"Short","SocialFirst","Zero",4,"Firefox",0,"Switch","tomato",2,"",0,282,"straightahead",-1,1,0,0,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,FALSE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",5,"Short","SocialFirst","Zero",4,"Firefox",0,"Switch","Novel64",3,"Novel3",1,1299,"silentLUshort",1,0,1,0,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,FALSE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",6,"Short","SocialFirst","Zero",4,"Firefox",0,"Switch","Novel3",1,"Novel3",1,3757,"straightahead",-1,0,0,1,(Oct 05 2014 19:44:09),0,TRUE,TRUE,4,TRUE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",7,"Short","SocialFirst","Zero",4,"Firefox",1,"Same","Novel26",1,"Novel26",1,2048,"silentRDshort",2,0,1,0,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,TRUE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",8,"Short","SocialFirst","Zero",4,"Firefox",1,"Same","Novel26",1,"Novel26",1,1189,"straightahead",-1,0,0,1,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,TRUE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",9,"Short","SocialFirst","Zero",4,"Firefox",2,"Switch","Novel80",3,"Novel82",1,421,"silentLUshort",1,0,1,0,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,FALSE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",10,"Short","SocialFirst","Zero",4,"Firefox",2,"Switch","Novel106",1,"Novel82",1,2549,"straightahead",-1,0,0,1,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,FALSE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",11,"Short","SocialFirst","Zero",4,"Firefox",3,"Same","Novel79",0,"Novel79",0,1915,"silentLDshort",0,0,1,0,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,TRUE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",12,"Short","SocialFirst","Zero",4,"Firefox",3,"Same","Novel79",0,"Novel79",0,16,"straightahead",-1,0,0,1,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,TRUE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",13,"Short","SocialFirst","Zero",4,"Firefox",4,"Switch","Novel112",2,"Novel93",0,534,"silentLUshort",1,0,1,0,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,FALSE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",14,"Short","SocialFirst","Zero",4,"Firefox",4,"Switch","Novel6",1,"Novel93",0,1025,"straightahead",-1,0,0,1,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,FALSE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",15,"Short","SocialFirst","Zero",4,"Firefox",5,"Same","Novel91",2,"Novel91",2,1050,"silentRUshort",3,0,1,0,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,TRUE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",16,"Short","SocialFirst","Zero",4,"Firefox",5,"Same","Novel91",1,"Novel91",2,823,"straightahead",-1,0,0,1,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,TRUE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",17,"Short","SocialFirst","Zero",4,"Firefox",6,"Switch","Novel116",1,"Novel59",3,2009,"silentRDshort",2,0,1,0,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,FALSE
"A10DHEIDKZR0IJ","Oct 05 2014","19:44:09",18,"Short","SocialFirst","Zero",4,"Firefox",6,"Switch","Novel103",2,"Novel59",3,356,"straightahead",-1,0,0,1,(Oct 05 2014 19:44:09),0,TRUE,FALSE,4,FALSE
