"trialType","condition","intervalNum","numPicN","correct","corr.cih","corr.cil"
"Same","No-Social",0,2,0.978515625,0.01171875,0.013671875
"Switch","No-Social",0,2,0.771484375,0.052734375,0.052734375
"Same","Social",0,2,0.967013888888889,0.0225694444444445,0.032986111111111
"Switch","Social",0,2,0.605072463768116,0.0851449275362318,0.0888134057971015
"Same","No-Social",1,2,0.918032786885246,0.0266393442622951,0.0266393442622951
"Switch","No-Social",1,2,0.813524590163934,0.0368852459016393,0.0389856557377048
"Same","Social",1,2,0.925925925925926,0.0500462962962963,0.0630092592592593
"Switch","Social",1,2,0.644444444444444,0.0889351851851851,0.0925925925925927
"Same","No-Social",3,2,0.859913793103448,0.0366379310344828,0.0387931034482759
"Switch","No-Social",3,2,0.728448275862069,0.0495689655172414,0.0474137931034483
"Same","Social",3,2,0.86734693877551,0.0612244897959184,0.0697704081632652
"Switch","Social",3,2,0.682291666666667,0.0677083333333334,0.0729166666666666
"Same","No-Social",7,2,0.858778625954199,0.032442748091603,0.0362595419847329
"Switch","No-Social",7,2,0.690839694656489,0.0477099236641222,0.0477099236641221
"Same","Social",7,2,0.822695035460993,0.0620567375886525,0.0780141843971631
"Switch","Social",7,2,0.638888888888889,0.0888888888888889,0.0944907407407407
"Same","No-Social",0,4,0.922413793103448,0.0301724137931034,0.0366379310344828
"Switch","No-Social",0,4,0.503591954022989,0.0574712643678161,0.0524604885057472
"Same","Social",0,4,0.897186147186147,0.0508928571428571,0.0562770562770563
"Switch","Social",0,4,0.319958847736626,0.058641975308642,0.0627572016460906
"Same","No-Social",1,4,0.82563025210084,0.046218487394958,0.0525210084033613
"Switch","No-Social",1,4,0.434873949579832,0.0462710084033613,0.0525210084033614
"Same","Social",1,4,0.835365853658537,0.0589430894308943,0.0640243902439024
"Switch","Social",1,4,0.299019607843137,0.057843137254902,0.0529656862745098
"Same","No-Social",3,4,0.762820512820513,0.0470085470085471,0.0491452991452991
"Switch","No-Social",3,4,0.459401709401709,0.0491987179487179,0.0534188034188034
"Same","Social",3,4,0.703488372093023,0.0649467054263566,0.0726986434108527
"Switch","Social",3,4,0.309803921568627,0.0637745098039215,0.0627696078431373
"Same","No-Social",7,4,0.760869565217391,0.043532608695652,0.05
"Switch","No-Social",7,4,0.480434782608696,0.0521739130434783,0.0543478260869565
"Same","Social",7,4,0.698039215686274,0.0765196078431373,0.0706127450980392
"Switch","Social",7,4,0.334325396825397,0.069469246031746,0.0615079365079365
"Same","No-Social",0,6,0.846153846153846,0.0641025641025641,0.0770833333333333
"Switch","No-Social",0,6,0.326923076923077,0.0769230769230769,0.0833333333333333
"Same","Social",0,6,0.928571428571429,0.0499999999999999,0.0642857142857143
"Switch","Social",0,6,0.189814814814815,0.0601851851851852,0.0602430555555556
"Same","No-Social",1,6,0.764285714285714,0.0857142857142857,0.0858928571428571
"Switch","No-Social",1,6,0.342857142857143,0.0785714285714286,0.0785714285714286
"Same","Social",1,6,0.869047619047619,0.0773809523809523,0.0892857142857143
"Switch","Social",1,6,0.265503875968992,0.0833333333333334,0.0756298449612403
"Same","No-Social",3,6,0.695945945945946,0.0945945945945946,0.101351351351351
"Switch","No-Social",3,6,0.263513513513513,0.0878378378378379,0.0810810810810811
"Same","Social",3,6,0.774122807017544,0.0899122807017544,0.0986842105263158
"Switch","Social",3,6,0.21875,0.0854687499999999,0.06875
"Same","No-Social",7,6,0.632352941176471,0.102941176470588,0.125
"Switch","No-Social",7,6,0.316176470588235,0.0735294117647059,0.0735294117647059
"Same","Social",7,6,0.675675675675676,0.0810810810810811,0.081081081081081
"Switch","Social",7,6,0.245495495495495,0.0788288288288289,0.0810810810810811
