subid,gender,age,age_group,condition,trial,itemNum,trialType,samePos,chosen,chosen_idx,kept,kept_idx,rt,faceVid,faceIdx,trial_cat,correct,include,version_expt,condition_expt,faceVid_expo,faceVid_expo_idx
1,f,4.1,4,Social,1,0,1,0,flower,1,,0,3805,straightaheadlonger,-1,example,TRUE,0,pilot,social,NA,NA
1,f,4.1,4,Social,2,0,1,0,truck,0,,0,1035,straightaheadlonger,-1,example,TRUE,0,pilot,social,NA,NA
1,f,4.1,4,Social,3,0,1,0,Novel2,0,Novel2,0,3459,LDkidslonger,0,exposure,TRUE,0,pilot,social,NA,NA
1,f,4.1,4,Social,4,0,1,0,Novel2,1,Novel2,0,1897,LDkidslonger,0,test,TRUE,0,pilot,social,NA,NA
1,f,4.1,4,Social,5,1,1,1,Novel11,1,Novel5,0,5559,RDkidslonger,1,exposure,TRUE,0,pilot,social,NA,NA
1,f,4.1,4,Social,6,1,1,1,Novel13,1,Novel5,0,2076,RDkidslonger,1,test,FALSE,0,pilot,social,NA,NA
1,f,4.1,4,Social,7,2,2,1,Novel23,1,Novel6,0,7078,LDkidslonger,0,exposure,FALSE,0,pilot,social,NA,NA
1,f,4.1,4,Social,8,2,2,1,Novel6,0,Novel6,0,2398,LDkidslonger,0,test,TRUE,0,pilot,social,NA,NA
1,f,4.1,4,Social,9,3,2,0,Novel22,1,Novel4,0,1720,LDkidslonger,0,exposure,FALSE,0,pilot,social,NA,NA
1,f,4.1,4,Social,10,3,2,0,Novel7,0,Novel4,0,1803,LDkidslonger,0,test,FALSE,0,pilot,social,NA,NA
1,f,4.1,4,Social,11,4,1,[undefined],Novel27,0,Novel27,0,2090,LDkidslonger,0,exposure,TRUE,0,pilot,social,NA,NA
1,f,4.1,4,Social,12,4,1,[undefined],Novel25,0,Novel27,0,2192,LDkidslonger,0,test,FALSE,0,pilot,social,NA,NA
1,f,4.1,4,Social,13,5,2,[undefined],Novel20,0,Novel20,0,3107,RDkidslonger,1,exposure,FALSE,0,pilot,social,NA,NA
1,f,4.1,4,Social,14,5,2,[undefined],Novel8,0,Novel20,0,1568,RDkidslonger,1,test,FALSE,0,pilot,social,NA,NA
2,m,3.04,3,Social,1,0,1,1,flower,1,,0,9309,straightaheadlonger,-1,example,TRUE,0,pilot,social,NA,NA
2,m,3.04,3,Social,2,0,1,1,truck,0,,0,6663,straightaheadlonger,-1,example,TRUE,0,pilot,social,NA,NA
2,m,3.04,3,Social,3,0,1,1,Novel6,1,Novel15,0,27080,RDkidslonger,1,exposure,TRUE,0,pilot,social,NA,NA
