"submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","comments","itemNum","trialType","samePos","chosen","correct","chosenIdx","gaze_target","trial_category","kept","keptIdx","rt","face","faceIdx","rel_subj","intervalNum","include","first.trial","numPicN","block","subids"
"Feb 14 2015","11:11:13",1,"Live","25%_reliable","Zero",4,"Chrome","                ",0,"Switch",1,"squirrel","TRUE",0,"squirrel","example","",0,3377,"up-left-4sec",0,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",2,"Live","25%_reliable","Zero",4,"Chrome","                ",0,"Switch",1,"tomato","TRUE",1,"tomato","example","",0,668,"up-right-4sec",1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",3,"Live","25%_reliable","Zero",4,"Chrome","                ",0,"Switch",1,"NA","NA",1,"Novel10","exposure","Novel65",0,6221,"down-right-4sec",1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",4,"Live","25%_reliable","Zero",4,"Chrome","                ",0,"Switch",1,"Novel65","TRUE",1,"NA","test","Novel65",0,738,"straight-ahead",-1,"0.38",0,TRUE,TRUE,4,"familiarization","1"
"Feb 14 2015","11:11:13",5,"Live","25%_reliable","Zero",4,"Chrome","                ",1,"Switch",1,"NA","NA",1,"Novel30","exposure","Novel67",0,2145,"down-right-4sec",1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",6,"Live","25%_reliable","Zero",4,"Chrome","                ",1,"Switch",1,"Novel140","FALSE",0,"NA","test","Novel67",0,1996,"straight-ahead",-1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",7,"Live","25%_reliable","Zero",4,"Chrome","                ",2,"Switch",0,"NA","NA",0,"Novel51","exposure","Novel84",1,2775,"down-left-4sec",0,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",8,"Live","25%_reliable","Zero",4,"Chrome","                ",2,"Switch",0,"Novel84","TRUE",0,"NA","test","Novel84",1,65,"straight-ahead",-1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",9,"Live","25%_reliable","Zero",4,"Chrome","                ",3,"Same",0,"NA","NA",0,"Novel32","exposure","Novel32",0,1772,"down-left-4sec",0,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",10,"Live","25%_reliable","Zero",4,"Chrome","                ",3,"Same",0,"Novel32","TRUE",1,"NA","test","Novel32",0,694,"straight-ahead",-1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",11,"Live","25%_reliable","Zero",4,"Chrome","                ",4,"Switch",0,"NA","NA",1,"Novel21","exposure","Novel68",0,679,"down-right-4sec",1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",12,"Live","25%_reliable","Zero",4,"Chrome","                ",4,"Switch",0,"Novel123","FALSE",0,"NA","test","Novel68",0,551,"straight-ahead",-1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",13,"Live","25%_reliable","Zero",4,"Chrome","                ",5,"Switch",1,"NA","NA",1,"Novel37","exposure","Novel136",0,1413,"down-right-4sec",1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",14,"Live","25%_reliable","Zero",4,"Chrome","                ",5,"Switch",1,"Novel136","TRUE",1,"NA","test","Novel136",0,172,"straight-ahead",-1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",15,"Live","25%_reliable","Zero",4,"Chrome","                ",6,"Same",1,"NA","NA",1,"Novel116","exposure","Novel116",1,1153,"down-right-4sec",1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",16,"Live","25%_reliable","Zero",4,"Chrome","                ",6,"Same",1,"Novel116","TRUE",0,"NA","test","Novel116",1,5,"straight-ahead",-1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",17,"Live","25%_reliable","Zero",4,"Chrome","                ",7,"Switch",0,"NA","NA",0,"Novel8","exposure","Novel23",1,10,"down-left-4sec",0,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",18,"Live","25%_reliable","Zero",4,"Chrome","                ",7,"Switch",0,"Novel23","TRUE",0,"NA","test","Novel23",1,467,"straight-ahead",-1,"0.38",0,TRUE,FALSE,4,"familiarization","1"
"Feb 14 2015","11:11:13",19,"Live","25%_reliable","Zero",4,"Chrome","                ",8,"Switch",1,"Novel131","TRUE",0,"Novel131","exposure","Novel29",1,4749,"up-left-4sec",1,"0.38",0,TRUE,FALSE,4,"test","1"
"Feb 14 2015","11:11:13",20,"Live","25%_reliable","Zero",4,"Chrome","                ",8,"Switch",1,"Novel26","FALSE",1,"NA","test","Novel29",1,3454,"straight-ahead",-1,"0.38",0,TRUE,FALSE,4,"test","1"
"Feb 14 2015","11:11:13",21,"Live","25%_reliable","Zero",4,"Chrome","                ",9,"Same",0,"Novel92","TRUE",2,"Novel92","exposure","Novel92",2,2297,"down-right-4sec",2,"0.38",0,TRUE,FALSE,4,"test","1"
"Feb 14 2015","11:11:13",22,"Live","25%_reliable","Zero",4,"Chrome","                ",9,"Same",0,"Novel92","TRUE",2,"NA","test","Novel92",2,440,"straight-ahead",-1,"0.38",0,TRUE,FALSE,4,"test","1"
"Feb 14 2015","11:11:13",23,"Live","25%_reliable","Zero",4,"Chrome","                ",10,"Switch",0,"Novel89","TRUE",0,"Novel89","exposure","Novel134",1,3441,"up-left-4sec",1,"0.38",0,TRUE,FALSE,4,"test","1"
"Feb 14 2015","11:11:13",24,"Live","25%_reliable","Zero",4,"Chrome","                ",10,"Switch",0,"Novel126","FALSE",1,"NA","test","Novel134",1,689,"straight-ahead",-1,"0.38",0,TRUE,FALSE,4,"test","1"
"Feb 14 2015","11:11:13",25,"Live","25%_reliable","Zero",4,"Chrome","                ",11,"Same",0,"Novel44","TRUE",0,"Novel44","exposure","Novel44",0,989,"up-left-4sec",1,"0.38",0,TRUE,FALSE,4,"test","1"
"Feb 14 2015","11:11:13",26,"Live","25%_reliable","Zero",4,"Chrome","                ",11,"Same",0,"Novel44","TRUE",2,"NA","test","Novel44",0,730,"straight-ahead",-1,"0.38",0,TRUE,FALSE,4,"test","1"
"Feb 14 2015","11:11:13",27,"Live","25%_reliable","Zero",4,"Chrome","                ",12,"Switch",1,"Novel66","TRUE",2,"Novel66","exposure","Novel104",0,308,"down-left-4sec",0,"0.38",0,TRUE,FALSE,4,"test","1"
"Feb 14 2015","11:11:13",28,"Live","25%_reliable","Zero",4,"Chrome","                ",12,"Switch",1,"Novel122","FALSE",2,"NA","test","Novel104",0,490,"straight-ahead",-1,"0.38",0,TRUE,FALSE,4,"test","1"
