"subids","itemNum","submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","comments","trialType","samePos","chosen.x","correct","chosenIdx","gaze_target.x","trial_category","kept","keptIdx","rt","face","faceIdx","rel_subj","intervalNum","include","first.trial","numPicN","block","prop_cond_clean","reliability","include_good_rt","gaze_target.y","chosen.y","correct_exposure","total_exposure_correct","chosen","gaze_target"
1,10,"Feb 14 2015","11:11:13",24,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",0,"Novel126",FALSE,1,NA,"test","Novel134",1,689,"straight-ahead",-1,0.38,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel89","Novel89",TRUE,7,NA,NA
1,11,"Feb 14 2015","11:11:13",26,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,"Novel44",TRUE,2,NA,"test","Novel44",0,730,"straight-ahead",-1,0.38,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel44","Novel44",TRUE,7,NA,NA
1,12,"Feb 14 2015","11:11:13",28,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,"Novel122",FALSE,2,NA,"test","Novel104",0,490,"straight-ahead",-1,0.38,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel66","Novel66",TRUE,7,NA,NA
1,14,"Feb 14 2015","11:11:13",32,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",0,"Novel40",TRUE,2,NA,"test","Novel40",1,680,"straight-ahead",-1,0.38,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel78","Novel78",TRUE,7,NA,NA
1,15,"Feb 14 2015","11:11:13",34,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",1,"Novel95",TRUE,1,NA,"test","Novel95",0,321,"straight-ahead",-1,0.38,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel95","Novel95",TRUE,7,NA,NA
1,8,"Feb 14 2015","11:11:13",20,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,"Novel26",FALSE,1,NA,"test","Novel29",1,3454,"straight-ahead",-1,0.38,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel131","Novel131",TRUE,7,NA,NA
1,9,"Feb 14 2015","11:11:13",22,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,"Novel92",TRUE,2,NA,"test","Novel92",2,440,"straight-ahead",-1,0.38,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel92","Novel92",TRUE,7,NA,NA
1,8,"Feb 14 2015","11:11:13",19,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,NA,TRUE,0,NA,"exposure","Novel29",1,4749,"up-left-4sec",1,37,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel131","Novel131"
1,9,"Feb 14 2015","11:11:13",21,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,NA,TRUE,2,NA,"exposure","Novel92",2,2297,"down-right-4sec",2,37,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel92","Novel92"
1,10,"Feb 14 2015","11:11:13",23,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",0,NA,TRUE,0,NA,"exposure","Novel134",1,3441,"up-left-4sec",1,37,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel89","Novel89"
1,11,"Feb 14 2015","11:11:13",25,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,NA,TRUE,0,NA,"exposure","Novel44",0,989,"up-left-4sec",1,37,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel44","Novel44"
