"example_trial","exposure_trial","test_trial","submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","day.and.time","intervalNum","include","first.trial","numPicN","correct","experiment","n_trials","duplicate","subids"
1,0,0,"Jul 13 2014","10:08:47",1,"Medium","Social","Zero",4,"Chrome",0,"Switch","squirrel",0,"",0,784,"straightahead",-1,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,FALSE,"look_length",20,0,"1"
1,0,0,"Jul 13 2014","10:08:47",2,"Medium","Social","Zero",4,"Chrome",0,"Switch","squirrel",0,"",0,1890,"straightahead",-1,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,FALSE,"look_length",20,0,"1"
1,0,0,"Jul 13 2014","10:08:47",3,"Medium","Social","Zero",4,"Chrome",0,"Switch","tomato",1,"",0,128,"straightahead",-1,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,FALSE,"look_length",20,0,"1"
1,0,0,"Jul 13 2014","10:08:47",4,"Medium","Social","Zero",4,"Chrome",0,"Switch","tomato",2,"",0,1769,"straightahead",-1,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,FALSE,"look_length",20,0,"1"
0,1,0,"Jul 13 2014","10:08:47",5,"Medium","Social","Zero",4,"Chrome",0,"Switch","Novel101",2,"Novel30",3,190,"silentLDmedium",0,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,FALSE,"look_length",20,0,"1"
0,0,1,"Jul 13 2014","10:08:47",6,"Medium","Social","Zero",4,"Chrome",0,"Switch","Novel115",1,"Novel30",3,3543,"straightahead",-1,"(Jul 13 2014 10:08:47)",0,TRUE,TRUE,4,FALSE,"look_length",20,0,"1"
0,1,0,"Jul 13 2014","10:08:47",7,"Medium","Social","Zero",4,"Chrome",1,"Same","Novel86",1,"Novel86",1,146,"silentRUmedium",3,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,TRUE,"look_length",20,0,"1"
0,0,1,"Jul 13 2014","10:08:47",8,"Medium","Social","Zero",4,"Chrome",1,"Same","Novel86",1,"Novel86",1,381,"straightahead",-1,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,TRUE,"look_length",20,0,"1"
0,1,0,"Jul 13 2014","10:08:47",9,"Medium","Social","Zero",4,"Chrome",2,"Switch","Novel95",2,"Novel28",3,1969,"silentLDmedium",0,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,FALSE,"look_length",20,0,"1"
0,0,1,"Jul 13 2014","10:08:47",10,"Medium","Social","Zero",4,"Chrome",2,"Switch","Novel28",3,"Novel28",3,1967,"straightahead",-1,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,TRUE,"look_length",20,0,"1"
0,1,0,"Jul 13 2014","10:08:47",11,"Medium","Social","Zero",4,"Chrome",3,"Same","Novel57",1,"Novel57",1,607,"silentRUmedium",3,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,TRUE,"look_length",20,0,"1"
0,0,1,"Jul 13 2014","10:08:47",12,"Medium","Social","Zero",4,"Chrome",3,"Same","Novel57",2,"Novel57",1,498,"straightahead",-1,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,TRUE,"look_length",20,0,"1"
0,1,0,"Jul 13 2014","10:08:47",13,"Medium","Social","Zero",4,"Chrome",4,"Switch","Novel108",0,"Novel107",1,322,"silentLUmedium",1,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,FALSE,"look_length",20,0,"1"
0,0,1,"Jul 13 2014","10:08:47",14,"Medium","Social","Zero",4,"Chrome",4,"Switch","Novel91",3,"Novel107",1,3055,"straightahead",-1,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,FALSE,"look_length",20,0,"1"
0,1,0,"Jul 13 2014","10:08:47",15,"Medium","Social","Zero",4,"Chrome",5,"Same","Novel131",2,"Novel131",2,393,"silentLDmedium",0,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,TRUE,"look_length",20,0,"1"
0,0,1,"Jul 13 2014","10:08:47",16,"Medium","Social","Zero",4,"Chrome",5,"Same","Novel131",2,"Novel131",2,2367,"straightahead",-1,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,TRUE,"look_length",20,0,"1"
0,1,0,"Jul 13 2014","10:08:47",17,"Medium","Social","Zero",4,"Chrome",6,"Switch","Novel92",1,"Novel100",2,52,"silentRUmedium",3,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,FALSE,"look_length",20,0,"1"
0,0,1,"Jul 13 2014","10:08:47",18,"Medium","Social","Zero",4,"Chrome",6,"Switch","Novel100",0,"Novel100",2,197,"straightahead",-1,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,TRUE,"look_length",20,0,"1"
0,1,0,"Jul 13 2014","10:08:47",19,"Medium","Social","Zero",4,"Chrome",7,"Same","Novel12",3,"Novel12",3,586,"silentRDmedium",2,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,TRUE,"look_length",20,0,"1"
0,0,1,"Jul 13 2014","10:08:47",20,"Medium","Social","Zero",4,"Chrome",7,"Same","Novel12",2,"Novel12",3,142,"straightahead",-1,"(Jul 13 2014 10:08:47)",0,TRUE,FALSE,4,TRUE,"look_length",20,0,"1"
