"","subid","submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","exposureTrial","testTrial","exampleTrial","day.and.time","intervalNum","include","first.trial","numPicN","correct"
"1","A12AL93ILXVJH1","Jul 15 2014","10:07:30",1,"Short","No-social","Zero",4,"Chrome",0,"Same",1,"squirrel",0,"",0,31,"straightahead",-1,0,0,1,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,FALSE
"2","A12AL93ILXVJH1","Jul 15 2014","10:07:30",2,"Short","No-social","Zero",4,"Chrome",0,"Same",1,"squirrel",0,"",0,1941,"straightahead",-1,0,0,1,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,FALSE
"3","A12AL93ILXVJH1","Jul 15 2014","10:07:30",3,"Short","No-social","Zero",4,"Chrome",0,"Same",1,"tomato",1,"",0,2464,"straightahead",-1,0,0,1,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,FALSE
"4","A12AL93ILXVJH1","Jul 15 2014","10:07:30",4,"Short","No-social","Zero",4,"Chrome",0,"Same",1,"tomato",2,"",0,1052,"straightahead",-1,0,0,1,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,FALSE
"5","A12AL93ILXVJH1","Jul 15 2014","10:07:30",5,"Short","No-social","Zero",4,"Chrome",0,"Same",1,"Novel130",2,"Novel130",2,6509,"straightahead",-1,1,0,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,TRUE
"6","A12AL93ILXVJH1","Jul 15 2014","10:07:30",6,"Short","No-social","Zero",4,"Chrome",0,"Same",1,"Novel130",2,"Novel130",2,172,"straightahead",-1,0,1,0,(Jul 15 2014 10:07:30),0,TRUE,TRUE,4,TRUE
"7","A12AL93ILXVJH1","Jul 15 2014","10:07:30",7,"Short","No-social","Zero",4,"Chrome",1,"Switch",1,"Novel47",2,"Novel85",1,16473,"straightahead",-1,1,0,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,FALSE
"8","A12AL93ILXVJH1","Jul 15 2014","10:07:30",8,"Short","No-social","Zero",4,"Chrome",1,"Switch",1,"Novel102",2,"Novel85",1,8814,"straightahead",-1,0,1,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,FALSE
"9","A12AL93ILXVJH1","Jul 15 2014","10:07:30",9,"Short","No-social","Zero",4,"Chrome",2,"Same",0,"Novel9",0,"Novel9",0,3478,"straightahead",-1,1,0,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,TRUE
"10","A12AL93ILXVJH1","Jul 15 2014","10:07:30",10,"Short","No-social","Zero",4,"Chrome",2,"Same",0,"Novel9",3,"Novel9",0,452,"straightahead",-1,0,1,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,TRUE
"11","A12AL93ILXVJH1","Jul 15 2014","10:07:30",11,"Short","No-social","Zero",4,"Chrome",3,"Switch",1,"Novel87",3,"Novel106",0,13474,"straightahead",-1,1,0,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,FALSE
"12","A12AL93ILXVJH1","Jul 15 2014","10:07:30",12,"Short","No-social","Zero",4,"Chrome",3,"Switch",1,"Novel26",3,"Novel106",0,4818,"straightahead",-1,0,1,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,FALSE
"13","A12AL93ILXVJH1","Jul 15 2014","10:07:30",13,"Short","No-social","Zero",4,"Chrome",4,"Same",1,"Novel95",0,"Novel95",0,4177,"straightahead",-1,1,0,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,TRUE
"14","A12AL93ILXVJH1","Jul 15 2014","10:07:30",14,"Short","No-social","Zero",4,"Chrome",4,"Same",1,"Novel95",0,"Novel95",0,1299,"straightahead",-1,0,1,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,TRUE
"15","A12AL93ILXVJH1","Jul 15 2014","10:07:30",15,"Short","No-social","Zero",4,"Chrome",5,"Switch",0,"Novel116",0,"Novel2",2,15316,"straightahead",-1,1,0,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,FALSE
"16","A12AL93ILXVJH1","Jul 15 2014","10:07:30",16,"Short","No-social","Zero",4,"Chrome",5,"Switch",0,"Novel63",1,"Novel2",2,578,"straightahead",-1,0,1,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,FALSE
"17","A12AL93ILXVJH1","Jul 15 2014","10:07:30",17,"Short","No-social","Zero",4,"Chrome",6,"Same",0,"Novel79",3,"Novel79",3,725,"straightahead",-1,1,0,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,TRUE
"18","A12AL93ILXVJH1","Jul 15 2014","10:07:30",18,"Short","No-social","Zero",4,"Chrome",6,"Same",0,"Novel79",0,"Novel79",3,764,"straightahead",-1,0,1,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,TRUE
"19","A12AL93ILXVJH1","Jul 15 2014","10:07:30",19,"Short","No-social","Zero",4,"Chrome",7,"Switch",0,"Novel92",3,"Novel103",2,21329,"straightahead",-1,1,0,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,FALSE
"20","A12AL93ILXVJH1","Jul 15 2014","10:07:30",20,"Short","No-social","Zero",4,"Chrome",7,"Switch",0,"Novel10",3,"Novel103",2,956,"straightahead",-1,0,1,0,(Jul 15 2014 10:07:30),0,TRUE,FALSE,4,FALSE
"21","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",1,"Short","No-social","Zero",4,"Chrome",0,"Switch",1,"squirrel",0,"",0,1126,"straightahead",-1,0,0,1,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,FALSE
"22","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",2,"Short","No-social","Zero",4,"Chrome",0,"Switch",1,"squirrel",0,"",0,162,"straightahead",-1,0,0,1,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,FALSE
"23","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",3,"Short","No-social","Zero",4,"Chrome",0,"Switch",1,"tomato",1,"",0,87,"straightahead",-1,0,0,1,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,FALSE
"24","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",4,"Short","No-social","Zero",4,"Chrome",0,"Switch",1,"tomato",2,"",0,595,"straightahead",-1,0,0,1,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,FALSE
"25","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",5,"Short","No-social","Zero",4,"Chrome",0,"Switch",1,"Novel1",0,"Novel97",3,1761,"straightahead",-1,1,0,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,FALSE
"26","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",6,"Short","No-social","Zero",4,"Chrome",0,"Switch",1,"Novel97",3,"Novel97",3,606,"straightahead",-1,0,1,0,(Jul 15 2014 19:57:58),0,TRUE,TRUE,4,TRUE
"27","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",7,"Short","No-social","Zero",4,"Chrome",1,"Same",1,"Novel38",1,"Novel38",1,296,"straightahead",-1,1,0,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,TRUE
"28","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",8,"Short","No-social","Zero",4,"Chrome",1,"Same",1,"Novel38",1,"Novel38",1,438,"straightahead",-1,0,1,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,TRUE
"29","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",9,"Short","No-social","Zero",4,"Chrome",2,"Switch",0,"Novel45",2,"Novel135",3,755,"straightahead",-1,1,0,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,FALSE
"30","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",10,"Short","No-social","Zero",4,"Chrome",2,"Switch",0,"Novel68",2,"Novel135",3,1109,"straightahead",-1,0,1,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,FALSE
"31","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",11,"Short","No-social","Zero",4,"Chrome",3,"Same",1,"Novel59",0,"Novel59",0,4501,"straightahead",-1,1,0,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,TRUE
"32","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",12,"Short","No-social","Zero",4,"Chrome",3,"Same",1,"Novel59",0,"Novel59",0,241,"straightahead",-1,0,1,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,TRUE
"33","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",13,"Short","No-social","Zero",4,"Chrome",4,"Switch",1,"Novel52",3,"Novel48",2,142,"straightahead",-1,1,0,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,FALSE
"34","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",14,"Short","No-social","Zero",4,"Chrome",4,"Switch",1,"Novel130",3,"Novel48",2,949,"straightahead",-1,0,1,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,FALSE
"35","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",15,"Short","No-social","Zero",4,"Chrome",5,"Same",0,"Novel123",1,"Novel123",1,1451,"straightahead",-1,1,0,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,TRUE
"36","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",16,"Short","No-social","Zero",4,"Chrome",5,"Same",0,"Novel123",0,"Novel123",1,110,"straightahead",-1,0,1,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,TRUE
"37","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",17,"Short","No-social","Zero",4,"Chrome",6,"Switch",0,"Novel46",1,"Novel132",0,2226,"straightahead",-1,1,0,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,FALSE
"38","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",18,"Short","No-social","Zero",4,"Chrome",6,"Switch",0,"Novel57",2,"Novel132",0,309,"straightahead",-1,0,1,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,FALSE
