"submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","example_trial","exposure_trial","test_trial","day.and.time","intervalNum","include","first.trial","numPicN","correct","subids"
"Aug 08 2014","18:28:37",1,"Short","No-socialFirst","Zero",4,"Chrome",0,"Switch","squirrel",0,"",0,5461,"straightahead",-1,1,0,0,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,FALSE,"1"
"Aug 08 2014","18:28:37",2,"Short","No-socialFirst","Zero",4,"Chrome",0,"Switch","squirrel",0,"",0,1976,"straightahead",-1,1,0,0,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,FALSE,"1"
"Aug 08 2014","18:28:37",3,"Short","No-socialFirst","Zero",4,"Chrome",0,"Switch","tomato",1,"",0,105,"straightahead",-1,1,0,0,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,FALSE,"1"
"Aug 08 2014","18:28:37",4,"Short","No-socialFirst","Zero",4,"Chrome",0,"Switch","tomato",2,"",0,559,"straightahead",-1,1,0,0,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,FALSE,"1"
"Aug 08 2014","18:28:37",5,"Short","No-socialFirst","Zero",4,"Chrome",0,"Switch","Novel24",1,"Novel132",2,15059,"straightahead",-1,0,1,0,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,FALSE,"1"
"Aug 08 2014","18:28:37",6,"Short","No-socialFirst","Zero",4,"Chrome",0,"Switch","Novel132",2,"Novel132",2,2727,"straightahead",-1,0,0,1,(Aug 08 2014 18:28:37),0,TRUE,TRUE,4,TRUE,"1"
"Aug 08 2014","18:28:37",7,"Short","No-socialFirst","Zero",4,"Chrome",1,"Same","Novel117",1,"Novel117",1,9593,"straightahead",-1,0,1,0,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,TRUE,"1"
"Aug 08 2014","18:28:37",8,"Short","No-socialFirst","Zero",4,"Chrome",1,"Same","Novel117",1,"Novel117",1,1453,"straightahead",-1,0,0,1,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,TRUE,"1"
"Aug 08 2014","18:28:37",9,"Short","No-socialFirst","Zero",4,"Chrome",2,"Switch","Novel52",0,"Novel21",3,1395,"straightahead",-1,0,1,0,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,FALSE,"1"
"Aug 08 2014","18:28:37",10,"Short","No-socialFirst","Zero",4,"Chrome",2,"Switch","Novel21",1,"Novel21",3,1308,"straightahead",-1,0,0,1,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,TRUE,"1"
"Aug 08 2014","18:28:37",11,"Short","No-socialFirst","Zero",4,"Chrome",3,"Same","Novel68",0,"Novel68",0,5152,"straightahead",-1,0,1,0,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,TRUE,"1"
"Aug 08 2014","18:28:37",12,"Short","No-socialFirst","Zero",4,"Chrome",3,"Same","Novel68",0,"Novel68",0,3201,"straightahead",-1,0,0,1,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,TRUE,"1"
"Aug 08 2014","18:28:37",13,"Short","No-socialFirst","Zero",4,"Chrome",4,"Switch","Novel76",3,"Novel79",1,2834,"straightahead",-1,0,1,0,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,FALSE,"1"
"Aug 08 2014","18:28:37",14,"Short","No-socialFirst","Zero",4,"Chrome",4,"Switch","Novel79",1,"Novel79",1,5173,"straightahead",-1,0,0,1,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,TRUE,"1"
"Aug 08 2014","18:28:37",15,"Short","No-socialFirst","Zero",4,"Chrome",5,"Same","Novel127",1,"Novel127",1,2171,"straightahead",-1,0,1,0,(Aug 08 2014 18:28:37),0,TRUE,FALSE,4,TRUE,"1"
