"trialType","condition","intervalNum","numPicN","correct","corr.cih","corr.cil"
"Same","No-Social",0,2,0.979658792650919,0.0105150918635171,0.0124671916010498
"Switch","No-Social",0,2,0.770341207349081,0.0524934383202099,0.0577591863517062
"Same","Social",0,2,0.960069444444444,0.0347222222222222,0.048611111111111
"Switch","Social",0,2,0.589015151515151,0.0946969696969697,0.104214015151515
"Same","No-Social",1,2,0.926470588235294,0.0252100840336134,0.0280287114845938
"Switch","No-Social",1,2,0.820028011204482,0.042717086834734,0.0413515406162465
"Same","Social",1,2,0.916666666666667,0.0569613821138212,0.0691056910569106
"Switch","Social",1,2,0.632575757575758,0.0890624999999999,0.0966382575757575
"Same","No-Social",3,2,0.865217391304348,0.0369565217391304,0.0369565217391304
"Switch","No-Social",3,2,0.722463768115942,0.0507246376811594,0.0492934782608696
"Same","Social",3,2,0.861702127659574,0.072695035460993,0.0868794326241135
"Switch","Social",3,2,0.705555555555556,0.0703703703703703,0.0703703703703704
"Same","No-Social",7,2,0.85594315245478,0.0348837209302325,0.037467700258398
"Switch","No-Social",7,2,0.695963541666667,0.048828125,0.0468912760416668
"Same","Social",7,2,0.817028985507246,0.0706521739130435,0.0778985507246377
"Switch","Social",7,2,0.623106060606061,0.0946969696969697,0.0928503787878788
"Same","No-Social",0,4,0.931286549707602,0.0328947368421052,0.0365497076023392
"Switch","No-Social",0,4,0.508040935672515,0.0584795321637427,0.054093567251462
"Same","Social",0,4,0.896929824561403,0.0537280701754387,0.070202850877193
"Switch","Social",0,4,0.30625,0.0625,0.061484375
"Same","No-Social",1,4,0.824858757062147,0.0459039548022599,0.0480225988700564
"Switch","No-Social",1,4,0.435734463276836,0.0572033898305084,0.0572033898305085
"Same","Social",1,4,0.836382113821138,0.0589684959349592,0.059959349593496
"Switch","Social",1,4,0.30421686746988,0.0522590361445783,0.0532128514056225
"Same","No-Social",3,4,0.766381766381766,0.0512820512820513,0.0491452991452991
"Switch","No-Social",3,4,0.46011396011396,0.0555733618233618,0.0591702279202279
"Same","Social",3,4,0.711382113821138,0.0681148373983739,0.0731961382113823
"Switch","Social",3,4,0.310975609756098,0.0660823170731707,0.0640497967479675
"Same","No-Social",7,4,0.765942028985507,0.0377173913043478,0.0478260869565217
"Switch","No-Social",7,4,0.477536231884058,0.0507427536231883,0.0528985507246377
"Same","Social",7,4,0.705357142857143,0.0753968253968254,0.0754464285714286
"Switch","Social",7,4,0.330321285140562,0.0692771084337349,0.0672941767068273
"Same","No-Social",0,6,0.854700854700855,0.0662393162393162,0.0811965811965811
"Switch","No-Social",0,6,0.307692307692308,0.0897435897435897,0.0876068376068376
"Same","Social",0,6,0.921428571428571,0.0642857142857144,0.0785714285714285
"Switch","Social",0,6,0.18287037037037,0.074074074074074,0.0740740740740741
"Same","No-Social",1,6,0.771428571428571,0.0833333333333333,0.0929166666666666
"Switch","No-Social",1,6,0.311274509803922,0.085845588235294,0.0857843137254902
"Same","Social",1,6,0.882113821138211,0.0691056910569106,0.0833333333333333
"Switch","Social",1,6,0.252032520325203,0.0833841463414634,0.0813008130081301
"Same","No-Social",3,6,0.719907407407407,0.0879629629629629,0.0972800925925925
"Switch","No-Social",3,6,0.259259259259259,0.0902777777777778,0.0902777777777778
"Same","Social",3,6,0.779279279279279,0.0900900900900901,0.0969031531531531
"Switch","Social",3,6,0.222222222222222,0.100480769230769,0.0876068376068376
"Same","No-Social",7,6,0.634803921568627,0.122549019607843,0.127450980392157
"Switch","No-Social",7,6,0.29656862745098,0.100551470588235,0.088296568627451
"Same","Social",7,6,0.689814814814815,0.0717592592592593,0.0810185185185185
"Switch","Social",7,6,0.252314814814815,0.104166666666667,0.0833333333333333
"Same","No-Social",0,8,0.892450142450142,0.0363425925925925,0.0427350427350427
"Switch","No-Social",0,8,0.215099715099715,0.0384793447293447,0.0413105413105413
"Same","Social",0,8,0.951754385964912,0.0350877192982456,0.0372807017543859
"Switch","Social",0,8,0.177083333333333,0.0854166666666667,0.08125
"Same","No-Social",1,8,0.795321637426901,0.0555738304093567,0.054093567251462
"Switch","No-Social",1,8,0.222953216374269,0.054093567251462,0.047514619883041
"Same","Social",1,8,0.837121212121212,0.0720170454545453,0.0795454545454546
"Switch","Social",1,8,0.157894736842105,0.0943530701754385,0.0833333333333333
"Same","No-Social",3,8,0.630530973451327,0.0649151917404128,0.0568215339233038
"Switch","No-Social",3,8,0.161549707602339,0.0416849415204678,0.0387426900584795
"Same","Social",3,8,0.716666666666667,0.0958333333333333,0.0916666666666667
"Switch","Social",3,8,0.0968468468468468,0.0518018018018018,0.0472972972972973
"Same","No-Social",7,8,0.617690058479532,0.0629020467836257,0.0592105263157895
"Switch","No-Social",7,8,0.180059523809524,0.039453125,0.0386904761904762
"Same","Social",7,8,0.552631578947368,0.111896929824561,0.114144736842105
"Switch","Social",7,8,0.166666666666667,0.0833333333333333,0.0698198198198198
