"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","numPic","interval","test","exposure","day.and.time"
"305","A1421I54656YSD","Dec 03 2013","09:36:58",5,0,"Switch",0,"Novel50",1,"Novel78",3,4183,"eyesdownright","4","0",0,1,(Dec 03 2013 09:36:58)
"307","A1421I54656YSD","Dec 03 2013","09:36:58",7,1,"Same",0,"Novel127",3,"Novel127",3,3406,"eyesleft","4","0",0,1,(Dec 03 2013 09:36:58)
"309","A1421I54656YSD","Dec 03 2013","09:36:58",9,2,"Switch",0,"Novel90",3,"Novel94",0,2282,"eyesleft","4","0",0,1,(Dec 03 2013 09:36:58)
"311","A1421I54656YSD","Dec 03 2013","09:36:58",11,3,"Same",1,"Novel1",2,"Novel1",2,3235,"eyesdownright","4","0",0,1,(Dec 03 2013 09:36:58)
"313","A1421I54656YSD","Dec 03 2013","09:36:58",13,4,"Switch",1,"Novel95",1,"Novel113",3,1344,"eyesright","4","0",0,1,(Dec 03 2013 09:36:58)
"315","A1421I54656YSD","Dec 03 2013","09:36:58",15,5,"Same",1,"Novel8",3,"Novel8",3,1781,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:36:58)
"317","A1421I54656YSD","Dec 03 2013","09:36:58",17,6,"Switch",1,"Novel88",1,"Novel129",3,1204,"eyesdownright","4","0",0,1,(Dec 03 2013 09:36:58)
"319","A1421I54656YSD","Dec 03 2013","09:36:58",19,7,"Same",0,"Novel138",1,"Novel138",1,1750,"eyesleft","4","0",0,1,(Dec 03 2013 09:36:58)
"325","A16PU53B41CJ22","Dec 03 2013","09:37:09",5,0,"Same",1,"Novel67",3,"Novel67",3,2761,"eyesdownright","4","0",0,1,(Dec 03 2013 09:37:09)
"327","A16PU53B41CJ22","Dec 03 2013","09:37:09",7,1,"Switch",1,"Novel113",2,"Novel135",3,2278,"eyesdownright","4","0",0,1,(Dec 03 2013 09:37:09)
"329","A16PU53B41CJ22","Dec 03 2013","09:37:09",9,2,"Same",1,"Novel89",0,"Novel89",0,2106,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:37:09)
"331","A16PU53B41CJ22","Dec 03 2013","09:37:09",11,3,"Switch",1,"Novel92",3,"Novel62",2,1263,"eyesdownright","4","0",0,1,(Dec 03 2013 09:37:09)
"333","A16PU53B41CJ22","Dec 03 2013","09:37:09",13,4,"Same",0,"Novel63",0,"Novel63",0,1903,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:37:09)
"335","A16PU53B41CJ22","Dec 03 2013","09:37:09",15,5,"Switch",0,"Novel44",0,"Novel47",2,1186,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:37:09)
"337","A16PU53B41CJ22","Dec 03 2013","09:37:09",17,6,"Same",0,"Novel93",0,"Novel93",0,1810,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:37:09)
"339","A16PU53B41CJ22","Dec 03 2013","09:37:09",19,7,"Switch",0,"Novel116",0,"Novel57",2,1186,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:37:09)
"225","A18T7E73TNGOKP","Dec 03 2013","09:34:59",5,0,"Same",0,"Novel100",3,"Novel100",3,2075,"eyesright","4","0",0,1,(Dec 03 2013 09:34:59)
"227","A18T7E73TNGOKP","Dec 03 2013","09:34:59",7,1,"Switch",1,"Novel43",1,"Novel73",3,2012,"eyesright","4","0",0,1,(Dec 03 2013 09:34:59)
"229","A18T7E73TNGOKP","Dec 03 2013","09:34:59",9,2,"Same",0,"Novel40",0,"Novel40",0,1450,"eyesleft","4","0",0,1,(Dec 03 2013 09:34:59)
"231","A18T7E73TNGOKP","Dec 03 2013","09:34:59",11,3,"Switch",0,"Novel62",3,"Novel13",2,1513,"eyesleft","4","0",0,1,(Dec 03 2013 09:34:59)
"233","A18T7E73TNGOKP","Dec 03 2013","09:34:59",13,4,"Same",1,"Novel42",1,"Novel42",1,1045,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:34:59)
"235","A18T7E73TNGOKP","Dec 03 2013","09:34:59",15,5,"Switch",1,"Novel65",2,"Novel117",0,1311,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:34:59)
"237","A18T7E73TNGOKP","Dec 03 2013","09:34:59",17,6,"Same",1,"Novel25",3,"Novel25",3,905,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:34:59)
"239","A18T7E73TNGOKP","Dec 03 2013","09:34:59",19,7,"Switch",0,"Novel107",2,"Novel114",0,1155,"eyesright","4","0",0,1,(Dec 03 2013 09:34:59)
