"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","numPic","interval","test","exposure","day.and.time","faceIdx","choseSocial"
"585","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",5,0,"Same",1,"Novel86",0,"Novel86",0,8644,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:42:56),"0",TRUE
"586","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",6,1,"Switch",0,"Novel136",3,"Novel6",2,4423,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:42:56),"3",TRUE
"587","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",7,2,"Same",0,"Novel82",2,"Novel82",2,1876,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:42:56),"2",TRUE
"588","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",8,3,"Switch",0,"Novel73",1,"Novel67",2,2108,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:42:56),"1",TRUE
"593","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",13,4,"Same",1,"Novel52",3,"Novel52",3,1512,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:42:56),"3",TRUE
"594","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",14,5,"Switch",1,"Novel137",2,"Novel61",0,2323,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:42:56),"2",TRUE
"595","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",15,6,"Same",0,"Novel45",0,"Novel45",0,1397,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:42:56),"0",TRUE
"596","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",16,7,"Switch",1,"Novel134",0,"Novel56",3,1541,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:42:56),"0",TRUE
"145","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",5,0,"Same",1,"Novel25",3,"Novel25",3,8238,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:14:39),"3",TRUE
"146","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",6,1,"Switch",0,"Novel15",2,"Novel126",3,2156,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:14:39),"2",TRUE
"147","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",7,2,"Same",0,"Novel117",3,"Novel117",3,1485,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:14:39),"3",TRUE
"148","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",8,3,"Switch",1,"Novel122",2,"Novel132",3,2070,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:14:39),"2",TRUE
"153","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",13,4,"Same",0,"Novel22",2,"Novel22",2,1525,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:14:39),"2",TRUE
"154","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",14,5,"Switch",0,"Novel102",3,"Novel136",0,1474,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:14:39),"3",TRUE
"155","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",15,6,"Same",1,"Novel67",2,"Novel67",2,1165,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:14:39),"2",TRUE
"156","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",16,7,"Switch",1,"Novel120",0,"Novel23",1,1555,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:14:39),"0",TRUE
"285","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",5,0,"Same",0,"Novel114",2,"Novel114",2,8178,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:25:05),"3",FALSE
"286","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",6,1,"Switch",1,"Novel54",1,"Novel34",0,5475,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:25:05),"2",FALSE
"287","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",7,2,"Same",1,"Novel64",0,"Novel64",0,2779,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:25:05),"0",TRUE
"288","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",8,3,"Switch",1,"Novel61",1,"Novel53",2,2076,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:25:05),"1",TRUE
"293","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",13,4,"Same",0,"Novel51",2,"Novel51",2,1199,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:25:05),"2",TRUE
"294","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",14,5,"Switch",0,"Novel26",0,"Novel101",3,1119,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:25:05),"0",TRUE
"295","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",15,6,"Same",1,"Novel118",0,"Novel118",0,1044,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:25:05),"0",TRUE
"296","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",16,7,"Switch",0,"Novel112",1,"Novel28",3,990,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:25:05),"1",TRUE
"5","A1DBE2OL84TBKB","Jan 18 2014","15:10:46",5,0,"Switch",1,"Novel58",0,"Novel127",3,1888,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:10:46),"0",TRUE
"6","A1DBE2OL84TBKB","Jan 18 2014","15:10:46",6,1,"Same",0,"Novel38",1,"Novel38",1,1984,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:10:46),"1",TRUE
"7","A1DBE2OL84TBKB","Jan 18 2014","15:10:46",7,2,"Switch",1,"Novel21",2,"Novel10",0,1734,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:10:46),"2",TRUE
"8","A1DBE2OL84TBKB","Jan 18 2014","15:10:46",8,3,"Same",0,"Novel16",3,"Novel16",3,1458,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:10:46),"3",TRUE
"13","A1DBE2OL84TBKB","Jan 18 2014","15:10:46",13,4,"Switch",0,"Novel86",0,"Novel93",1,3482,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:10:46),"0",TRUE
"14","A1DBE2OL84TBKB","Jan 18 2014","15:10:46",14,5,"Same",1,"Novel88",0,"Novel88",0,1062,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:10:46),"0",TRUE
"15","A1DBE2OL84TBKB","Jan 18 2014","15:10:46",15,6,"Switch",0,"Novel108",0,"Novel119",2,1962,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:10:46),"0",TRUE
"16","A1DBE2OL84TBKB","Jan 18 2014","15:10:46",16,7,"Same",1,"Novel84",2,"Novel84",2,886,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:10:46),"2",TRUE
"105","A1E8WU0ER9WT88","Jan 18 2014","15:13:32",5,0,"Switch",0,"Novel100",1,"Novel95",3,5052,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:13:32),"1",TRUE
"106","A1E8WU0ER9WT88","Jan 18 2014","15:13:32",6,1,"Same",1,"Novel61",3,"Novel61",3,2683,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:13:32),"3",TRUE
"107","A1E8WU0ER9WT88","Jan 18 2014","15:13:32",7,2,"Switch",0,"Novel115",3,"Novel30",1,3636,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:13:32),"3",TRUE
"108","A1E8WU0ER9WT88","Jan 18 2014","15:13:32",8,3,"Same",0,"Novel16",3,"Novel16",3,2827,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:13:32),"3",TRUE
"113","A1E8WU0ER9WT88","Jan 18 2014","15:13:32",13,4,"Switch",1,"Novel20",1,"Novel41",0,1895,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:13:32),"1",TRUE
"114","A1E8WU0ER9WT88","Jan 18 2014","15:13:32",14,5,"Same",1,"Novel7",3,"Novel7",3,1855,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:13:32),"3",TRUE
"115","A1E8WU0ER9WT88","Jan 18 2014","15:13:32",15,6,"Switch",1,"Novel36",1,"Novel94",2,1530,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:13:32),"1",TRUE
"116","A1E8WU0ER9WT88","Jan 18 2014","15:13:32",16,7,"Same",0,"Novel63",2,"Novel63",2,1258,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:13:32),"2",TRUE
"85","A1HXAMI9F1CUEF","Jan 18 2014","15:13:31",5,0,"Same",1,"Novel15",1,"Novel15",1,2946,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:13:31),"1",TRUE
