"","subid","submit.date","submit.time","trial.num","condition","interval","numPic","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","exposureTrial","testTrial","exampleTrial","day.and.time","intervalNum","include","first.trial","numPicN","correct"
"1","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",1,"No-Social","Seven",2,0,"Switch",1,"squirrel",0,"",0,5884,"eyescenter",-1,0,0,1,(May 02 2014 13:17:43),7,TRUE,FALSE,2,FALSE
"2","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",2,"No-Social","Seven",2,0,"Switch",1,"squirrel",1,"",0,2193,"eyescenter",-1,0,0,1,(May 02 2014 13:17:43),7,TRUE,FALSE,2,FALSE
"3","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",3,"No-Social","Seven",2,0,"Switch",1,"tomato",0,"",0,2587,"eyescenter",-1,0,0,1,(May 02 2014 13:17:43),7,TRUE,FALSE,2,FALSE
"4","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",4,"No-Social","Seven",2,0,"Switch",1,"tomato",1,"",0,3155,"eyescenter",-1,0,0,1,(May 02 2014 13:17:43),7,TRUE,FALSE,2,FALSE
"5","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",5,"No-Social","Seven",2,0,"Switch",1,"Novel52",0,"Novel23",1,4611,"eyescenter",-1,1,0,0,(May 02 2014 13:17:43),7,TRUE,FALSE,2,FALSE
"6","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",6,"No-Social","Seven",2,1,"Same",1,"Novel31",0,"Novel31",0,6207,"eyescenter",-1,1,0,0,(May 02 2014 13:17:43),7,TRUE,FALSE,2,TRUE
"7","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",7,"No-Social","Seven",2,2,"Switch",0,"Novel65",1,"Novel6",0,3623,"eyescenter",-1,1,0,0,(May 02 2014 13:17:43),7,TRUE,FALSE,2,FALSE
"8","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",8,"No-Social","Seven",2,3,"Same",0,"Novel134",0,"Novel134",0,3006,"eyescenter",-1,1,0,0,(May 02 2014 13:17:43),7,TRUE,FALSE,2,TRUE
"9","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",9,"No-Social","Seven",2,4,"Switch",0,"Novel125",1,"Novel95",0,4471,"eyescenter",-1,1,0,0,(May 02 2014 13:17:43),7,TRUE,FALSE,2,FALSE
"10","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",10,"No-Social","Seven",2,5,"Same",1,"Novel61",0,"Novel61",0,4577,"eyescenter",-1,1,0,0,(May 02 2014 13:17:43),7,TRUE,FALSE,2,TRUE
"11","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",11,"No-Social","Seven",2,6,"Switch",1,"Novel110",0,"Novel44",1,5004,"eyescenter",-1,1,0,0,(May 02 2014 13:17:43),7,TRUE,FALSE,2,FALSE
"12","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",12,"No-Social","Seven",2,7,"Same",0,"Novel68",0,"Novel68",0,2961,"eyescenter",-1,1,0,0,(May 02 2014 13:17:43),7,TRUE,FALSE,2,TRUE
"13","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",13,"No-Social","Seven",2,0,"Switch",1,"Novel23",1,"Novel23",1,5680,"eyescenter",-1,0,1,0,(May 02 2014 13:17:43),7,TRUE,TRUE,2,TRUE
"14","A07470353L7983ZPFPYV2","May 02 2014","13:17:43",14,"No-Social","Seven",2,1,"Same",1,"Novel31",0,"Novel31",0,2835,"eyescenter",-1,0,1,0,(May 02 2014 13:17:43),7,TRUE,FALSE,2,TRUE
