"","subid","submit.time","trial.num","condition","interval","numPic","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","exposureTrial","testTrial","exampleTrial","intervalNum","include","first.trial","numPicN","correct"
"1","A10EEFN0OZB72L","12:46:43",1,"Social","One",6,0,"Switch",0,"squirrel",3,"",0,1826,"eyescenter",-1,0,0,1,1,TRUE,FALSE,6,FALSE
"2","A10EEFN0OZB72L","12:46:43",2,"Social","One",6,0,"Switch",0,"squirrel",1,"",0,1034,"eyescenter",-1,0,0,1,1,TRUE,FALSE,6,FALSE
"3","A10EEFN0OZB72L","12:46:43",3,"Social","One",6,0,"Switch",0,"tomato",4,"",0,1152,"eyescenter",-1,0,0,1,1,TRUE,FALSE,6,FALSE
"4","A10EEFN0OZB72L","12:46:43",4,"Social","One",6,0,"Switch",0,"tomato",0,"",0,1432,"eyescenter",-1,0,0,1,1,TRUE,FALSE,6,FALSE
"5","A10EEFN0OZB72L","12:46:43",5,"Social","One",6,0,"Switch",0,"Novel94",3,"Novel5",4,2779,"eyes_down_left",1,1,0,0,1,TRUE,FALSE,6,FALSE
"6","A10EEFN0OZB72L","12:46:43",6,"Social","One",6,1,"Same",1,"Novel123",4,"Novel123",4,1660,"eyes_down_right",2,1,0,0,1,TRUE,FALSE,6,TRUE
"7","A10EEFN0OZB72L","12:46:43",7,"Social","One",6,0,"Switch",0,"Novel48",2,"Novel5",4,4235,"eyescenter",-1,0,1,0,1,TRUE,TRUE,6,FALSE
"8","A10EEFN0OZB72L","12:46:43",8,"Social","One",6,1,"Same",1,"Novel123",4,"Novel123",4,1778,"eyescenter",-1,0,1,0,1,TRUE,FALSE,6,TRUE
"9","A10EEFN0OZB72L","12:46:43",9,"Social","One",6,2,"Switch",1,"Novel140",2,"Novel73",4,1359,"eyes_left",0,1,0,0,1,TRUE,FALSE,6,FALSE
"10","A10EEFN0OZB72L","12:46:43",10,"Social","One",6,3,"Same",1,"Novel61",1,"Novel61",1,1462,"eyes_right_90",5,1,0,0,1,TRUE,FALSE,6,TRUE
