"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","numPic","interval","test","exposure","day.and.time","correct","include","first.trial","numPicN","intervalN"
"1","A164RBTU9AO3G7","Dec 05 2013","03:19:34",6,0,"Switch",0,"Novel109",2,"Novel27",0,3764,"eyescenter2","4","0",1,0,(Dec 05 2013 03:19:34),FALSE,TRUE,TRUE,4,0
"2","A164RBTU9AO3G7","Dec 05 2013","03:19:34",8,1,"Same",1,"Novel76",1,"Novel76",1,1377,"eyescenter2","4","0",1,0,(Dec 05 2013 03:19:34),TRUE,TRUE,NA,4,0
"3","A164RBTU9AO3G7","Dec 05 2013","03:19:34",10,2,"Switch",1,"Novel25",1,"Novel79",2,1808,"eyescenter2","4","0",1,0,(Dec 05 2013 03:19:34),FALSE,TRUE,NA,4,0
"4","A164RBTU9AO3G7","Dec 05 2013","03:19:34",12,3,"Same",0,"Novel83",3,"Novel135",1,3422,"eyescenter2","4","0",1,0,(Dec 05 2013 03:19:34),FALSE,TRUE,NA,4,0
"5","A164RBTU9AO3G7","Dec 05 2013","03:19:34",14,4,"Switch",1,"Novel1",3,"Novel140",0,1342,"eyescenter2","4","0",1,0,(Dec 05 2013 03:19:34),FALSE,TRUE,NA,4,0
"6","A164RBTU9AO3G7","Dec 05 2013","03:19:34",16,5,"Same",0,"Novel6",0,"Novel39",1,2559,"eyescenter2","4","0",1,0,(Dec 05 2013 03:19:34),FALSE,TRUE,NA,4,0
"7","A164RBTU9AO3G7","Dec 05 2013","03:19:34",18,6,"Switch",0,"Novel106",1,"Novel81",1,1892,"eyescenter2","4","0",1,0,(Dec 05 2013 03:19:34),FALSE,TRUE,NA,4,0
"8","A164RBTU9AO3G7","Dec 05 2013","03:19:34",20,7,"Same",1,"Novel24",2,"Novel82",3,2684,"eyescenter2","4","0",1,0,(Dec 05 2013 03:19:34),FALSE,TRUE,NA,4,0
"9","A18O959BLI9ZMM","Dec 05 2013","04:36:12",6,0,"Same",1,"Novel93",1,"Novel93",1,2216,"eyescenter2","4","0",1,0,(Dec 05 2013 04:36:12),TRUE,TRUE,TRUE,4,0
"10","A18O959BLI9ZMM","Dec 05 2013","04:36:12",8,1,"Switch",0,"Novel26",2,"Novel26",3,1996,"eyescenter2","4","0",1,0,(Dec 05 2013 04:36:12),TRUE,TRUE,NA,4,0
"11","A18O959BLI9ZMM","Dec 05 2013","04:36:12",10,2,"Same",0,"Novel47",2,"Novel47",3,671,"eyescenter2","4","0",1,0,(Dec 05 2013 04:36:12),TRUE,TRUE,NA,4,0
"12","A18O959BLI9ZMM","Dec 05 2013","04:36:12",12,3,"Switch",1,"Novel56",2,"Novel46",3,1716,"eyescenter2","4","0",1,0,(Dec 05 2013 04:36:12),FALSE,TRUE,NA,4,0
"13","A18O959BLI9ZMM","Dec 05 2013","04:36:12",14,4,"Same",1,"Novel5",1,"Novel75",0,1685,"eyescenter2","4","0",1,0,(Dec 05 2013 04:36:12),FALSE,TRUE,NA,4,0
"14","A18O959BLI9ZMM","Dec 05 2013","04:36:12",16,5,"Switch",1,"Novel94",2,"Novel59",1,1669,"eyescenter2","4","0",1,0,(Dec 05 2013 04:36:12),FALSE,TRUE,NA,4,0
"15","A18O959BLI9ZMM","Dec 05 2013","04:36:12",18,6,"Same",0,"Novel127",3,"Novel127",1,1685,"eyescenter2","4","0",1,0,(Dec 05 2013 04:36:12),TRUE,TRUE,NA,4,0
"16","A18O959BLI9ZMM","Dec 05 2013","04:36:12",20,7,"Switch",0,"Novel17",1,"Novel17",0,796,"eyescenter2","4","0",1,0,(Dec 05 2013 04:36:12),TRUE,TRUE,NA,4,0
"17","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",6,0,"Switch",0,"Novel2",2,"Novel2",1,5218,"eyescenter2","4","0",1,0,(Dec 05 2013 03:34:48),TRUE,TRUE,TRUE,4,0
"18","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",8,1,"Same",0,"Novel56",0,"Novel56",3,1299,"eyescenter2","4","0",1,0,(Dec 05 2013 03:34:48),TRUE,TRUE,NA,4,0
"19","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",10,2,"Switch",1,"Novel32",1,"Novel97",2,4024,"eyescenter2","4","0",1,0,(Dec 05 2013 03:34:48),FALSE,TRUE,NA,4,0
"20","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",12,3,"Same",0,"Novel110",3,"Novel110",0,915,"eyescenter2","4","0",1,0,(Dec 05 2013 03:34:48),TRUE,TRUE,NA,4,0
"21","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",14,4,"Switch",1,"Novel140",2,"Novel34",1,880,"eyescenter2","4","0",1,0,(Dec 05 2013 03:34:48),FALSE,TRUE,NA,4,0
"22","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",16,5,"Same",1,"Novel50",0,"Novel50",0,1173,"eyescenter2","4","0",1,0,(Dec 05 2013 03:34:48),TRUE,TRUE,NA,4,0
"23","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",18,6,"Switch",0,"Novel115",2,"Novel55",2,950,"eyescenter2","4","0",1,0,(Dec 05 2013 03:34:48),FALSE,TRUE,NA,4,0
"24","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",20,7,"Same",1,"Novel10",3,"Novel10",3,1059,"eyescenter2","4","0",1,0,(Dec 05 2013 03:34:48),TRUE,TRUE,NA,4,0
