"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","numPic","interval","test","exposure","day.and.time","faceIdx","choseSocial"
"85","A164RBTU9AO3G7","Dec 05 2013","03:19:34",5,0,"Switch",0,"Novel32",3,"Novel27",0,3337,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 03:19:34),"2",FALSE
"87","A164RBTU9AO3G7","Dec 05 2013","03:19:34",7,1,"Same",1,"Novel76",1,"Novel76",1,2177,"eyesrightarrow","4","0",0,1,(Dec 05 2013 03:19:34),"3",FALSE
"89","A164RBTU9AO3G7","Dec 05 2013","03:19:34",9,2,"Switch",1,"Novel46",3,"Novel79",2,2283,"eyesrightarrow","4","0",0,1,(Dec 05 2013 03:19:34),"3",TRUE
"91","A164RBTU9AO3G7","Dec 05 2013","03:19:34",11,3,"Same",0,"Novel135",1,"Novel135",1,4101,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 03:19:34),"2",FALSE
"93","A164RBTU9AO3G7","Dec 05 2013","03:19:34",13,4,"Switch",1,"Novel58",2,"Novel140",0,1847,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 03:19:34),"2",TRUE
"95","A164RBTU9AO3G7","Dec 05 2013","03:19:34",15,5,"Same",0,"Novel39",1,"Novel39",1,3017,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 03:19:34),"1",TRUE
"97","A164RBTU9AO3G7","Dec 05 2013","03:19:34",17,6,"Switch",0,"Novel37",2,"Novel81",1,1832,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 03:19:34),"1",FALSE
"99","A164RBTU9AO3G7","Dec 05 2013","03:19:34",19,7,"Same",1,"Novel82",3,"Novel82",3,3000,"eyesleftarrow","4","0",0,1,(Dec 05 2013 03:19:34),"0",FALSE
"545","A18O959BLI9ZMM","Dec 05 2013","04:36:12",5,0,"Same",1,"Novel93",1,"Novel93",1,2168,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 04:36:12),"1",TRUE
"547","A18O959BLI9ZMM","Dec 05 2013","04:36:12",7,1,"Switch",0,"Novel80",0,"Novel26",3,812,"eyesleftarrow","4","0",0,1,(Dec 05 2013 04:36:12),"0",TRUE
"549","A18O959BLI9ZMM","Dec 05 2013","04:36:12",9,2,"Same",0,"Novel47",3,"Novel47",3,2412,"eyesrightarrow","4","0",0,1,(Dec 05 2013 04:36:12),"3",TRUE
"551","A18O959BLI9ZMM","Dec 05 2013","04:36:12",11,3,"Switch",1,"Novel54",1,"Novel46",3,1201,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 04:36:12),"1",TRUE
"553","A18O959BLI9ZMM","Dec 05 2013","04:36:12",13,4,"Same",1,"Novel75",0,"Novel75",0,952,"eyesleftarrow","4","0",0,1,(Dec 05 2013 04:36:12),"0",TRUE
"555","A18O959BLI9ZMM","Dec 05 2013","04:36:12",15,5,"Switch",1,"Novel1",0,"Novel59",1,1560,"eyesleftarrow","4","0",0,1,(Dec 05 2013 04:36:12),"0",TRUE
"557","A18O959BLI9ZMM","Dec 05 2013","04:36:12",17,6,"Same",0,"Novel127",1,"Novel127",1,1513,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 04:36:12),"1",TRUE
"559","A18O959BLI9ZMM","Dec 05 2013","04:36:12",19,7,"Switch",0,"Novel9",2,"Novel17",0,1825,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 04:36:12),"2",TRUE
"165","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",5,0,"Switch",0,"Novel138",3,"Novel2",1,2203,"eyesrightarrow","4","0",0,1,(Dec 05 2013 03:34:48),"3",TRUE
"167","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",7,1,"Same",0,"Novel56",3,"Novel56",3,2560,"eyesrightarrow","4","0",0,1,(Dec 05 2013 03:34:48),"3",TRUE
"169","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",9,2,"Switch",1,"Novel69",1,"Novel97",2,1953,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 03:34:48),"1",TRUE
"171","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",11,3,"Same",0,"Novel110",0,"Novel110",0,1244,"eyesleftarrow","4","0",0,1,(Dec 05 2013 03:34:48),"0",TRUE
"173","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",13,4,"Switch",1,"Novel114",3,"Novel34",1,1325,"eyesrightarrow","4","0",0,1,(Dec 05 2013 03:34:48),"3",TRUE
"175","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",15,5,"Same",1,"Novel50",0,"Novel50",0,1400,"eyesleftarrow","4","0",0,1,(Dec 05 2013 03:34:48),"0",TRUE
"177","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",17,6,"Switch",0,"Novel44",1,"Novel55",2,1208,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 03:34:48),"1",TRUE
"179","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",19,7,"Same",1,"Novel10",3,"Novel10",3,1066,"eyesrightarrow","4","0",0,1,(Dec 05 2013 03:34:48),"3",TRUE
"405","A1DVCUCOTAC0JQ","Dec 05 2013","04:28:42",5,0,"Switch",0,"Novel107",1,"Novel111",2,1520,"eyesleftarrow","4","0",0,1,(Dec 05 2013 04:28:42),"0",FALSE
"407","A1DVCUCOTAC0JQ","Dec 05 2013","04:28:42",7,1,"Same",0,"Novel35",3,"Novel35",3,2738,"eyesrightarrow","4","0",0,1,(Dec 05 2013 04:28:42),"3",TRUE
"409","A1DVCUCOTAC0JQ","Dec 05 2013","04:28:42",9,2,"Switch",1,"Novel38",3,"Novel16",2,3371,"eyesrightarrow","4","0",0,1,(Dec 05 2013 04:28:42),"3",TRUE
"411","A1DVCUCOTAC0JQ","Dec 05 2013","04:28:42",11,3,"Same",1,"Novel105",3,"Novel105",3,1494,"eyesrightarrow","4","0",0,1,(Dec 05 2013 04:28:42),"3",TRUE
"413","A1DVCUCOTAC0JQ","Dec 05 2013","04:28:42",13,4,"Switch",1,"Novel124",1,"Novel6",0,2714,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 04:28:42),"2",FALSE
"415","A1DVCUCOTAC0JQ","Dec 05 2013","04:28:42",15,5,"Same",1,"Novel43",0,"Novel43",0,1634,"eyesleftarrow","4","0",0,1,(Dec 05 2013 04:28:42),"0",TRUE
"417","A1DVCUCOTAC0JQ","Dec 05 2013","04:28:42",17,6,"Switch",0,"Novel102",3,"Novel100",1,1322,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 04:28:42),"1",FALSE
"419","A1DVCUCOTAC0JQ","Dec 05 2013","04:28:42",19,7,"Same",0,"Novel93",2,"Novel93",2,1916,"eyesrightarrow","4","0",0,1,(Dec 05 2013 04:28:42),"3",FALSE
"65","A1S32HIBNP3ZK6","Dec 05 2013","03:16:54",5,0,"Same",0,"Novel129",1,"Novel129",1,20015,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 03:16:54),"1",TRUE
"67","A1S32HIBNP3ZK6","Dec 05 2013","03:16:54",7,1,"Switch",0,"Novel84",2,"Novel135",0,7909,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 03:16:54),"2",TRUE
"69","A1S32HIBNP3ZK6","Dec 05 2013","03:16:54",9,2,"Same",0,"Novel49",2,"Novel49",2,3152,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 03:16:54),"2",TRUE
"71","A1S32HIBNP3ZK6","Dec 05 2013","03:16:54",11,3,"Switch",1,"Novel17",1,"Novel21",3,3260,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 03:16:54),"1",TRUE
"73","A1S32HIBNP3ZK6","Dec 05 2013","03:16:54",13,4,"Same",1,"Novel91",3,"Novel91",3,2590,"eyesrightarrow","4","0",0,1,(Dec 05 2013 03:16:54),"3",TRUE
"75","A1S32HIBNP3ZK6","Dec 05 2013","03:16:54",15,5,"Switch",0,"Novel73",1,"Novel116",2,1560,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 03:16:54),"1",TRUE
"77","A1S32HIBNP3ZK6","Dec 05 2013","03:16:54",17,6,"Same",1,"Novel138",2,"Novel138",2,4087,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 03:16:54),"2",TRUE
"79","A1S32HIBNP3ZK6","Dec 05 2013","03:16:54",19,7,"Switch",1,"Novel32",2,"Novel114",1,2636,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 03:16:54),"2",TRUE
"305","A1SSBN3C7NEPEO","Dec 05 2013","04:12:56",5,0,"Same",1,"Novel69",1,"Novel69",1,5070,"eyesleftarrow","4","0",0,1,(Dec 05 2013 04:12:56),"0",FALSE
"307","A1SSBN3C7NEPEO","Dec 05 2013","04:12:56",7,1,"Switch",1,"Novel59",3,"Novel84",2,1919,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 04:12:56),"2",FALSE
"309","A1SSBN3C7NEPEO","Dec 05 2013","04:12:56",9,2,"Same",0,"Novel25",2,"Novel25",2,1264,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 04:12:56),"2",TRUE
"311","A1SSBN3C7NEPEO","Dec 05 2013","04:12:56",11,3,"Switch",0,"Novel43",3,"Novel60",2,1466,"eyesrightarrow","4","0",0,1,(Dec 05 2013 04:12:56),"3",TRUE
"313","A1SSBN3C7NEPEO","Dec 05 2013","04:12:56",13,4,"Same",1,"Novel68",3,"Novel68",3,1607,"eyesrightarrow","4","0",0,1,(Dec 05 2013 04:12:56),"3",TRUE
"315","A1SSBN3C7NEPEO","Dec 05 2013","04:12:56",15,5,"Switch",1,"Novel85",2,"Novel23",0,1124,"eyesleftarrow","4","0",0,1,(Dec 05 2013 04:12:56),"0",FALSE
"317","A1SSBN3C7NEPEO","Dec 05 2013","04:12:56",17,6,"Same",0,"Novel138",2,"Novel138",2,1670,"eyesrightarrow","4","0",0,1,(Dec 05 2013 04:12:56),"3",FALSE
"319","A1SSBN3C7NEPEO","Dec 05 2013","04:12:56",19,7,"Switch",0,"Novel136",1,"Novel123",3,1419,"eyesleftarrow","4","0",0,1,(Dec 05 2013 04:12:56),"0",FALSE
"105","A1USDMJVT10CE4","Dec 05 2013","03:21:14",5,0,"Switch",1,"Novel27",3,"Novel112",1,2121,"eyesrightarrow","4","0",0,1,(Dec 05 2013 03:21:14),"3",TRUE
"107","A1USDMJVT10CE4","Dec 05 2013","03:21:14",7,1,"Same",1,"Novel17",2,"Novel17",2,2184,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 03:21:14),"2",TRUE
"109","A1USDMJVT10CE4","Dec 05 2013","03:21:14",9,2,"Switch",0,"Novel15",3,"Novel6",0,1810,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 03:21:14),"2",FALSE
"111","A1USDMJVT10CE4","Dec 05 2013","03:21:14",11,3,"Same",0,"Novel78",3,"Novel78",3,2886,"eyesrightarrow","4","0",0,1,(Dec 05 2013 03:21:14),"3",TRUE
"113","A1USDMJVT10CE4","Dec 05 2013","03:21:14",13,4,"Switch",1,"Novel25",1,"Novel91",2,1045,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 03:21:14),"1",TRUE
"115","A1USDMJVT10CE4","Dec 05 2013","03:21:14",15,5,"Same",1,"Novel108",1,"Novel108",1,1310,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 03:21:14),"2",FALSE
"117","A1USDMJVT10CE4","Dec 05 2013","03:21:14",17,6,"Switch",0,"Novel47",3,"Novel29",2,2949,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 03:21:14),"1",FALSE
"119","A1USDMJVT10CE4","Dec 05 2013","03:21:14",19,7,"Same",0,"Novel66",0,"Novel66",0,4883,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 03:21:14),"1",FALSE
"225","A1Z7QTDFX7ZM2O","Dec 05 2013","04:06:34",5,0,"Switch",1,"Novel60",1,"Novel74",0,5315,"eyesdownleftarrow","4","0",0,1,(Dec 05 2013 04:06:34),"1",TRUE
"227","A1Z7QTDFX7ZM2O","Dec 05 2013","04:06:34",7,1,"Same",0,"Novel66",2,"Novel66",2,2574,"eyesdownrightarrow","4","0",0,1,(Dec 05 2013 04:06:34),"2",TRUE
